,title,category,author_name,dates,num comments,num views
21,Han So Hee makes her Instagram account private,News,Janie-Reign,3/18/2024,83,"17,888"
22,"Yang Hyun Suk provides track-by-track breakdown of BABYMONSTER's mini album, announcing Charlie Puth's contribution",Misc,Janie-Reign,3/18/2024,38,"6,176"
23,Apink's Namjoo shows her 'BAD' side in 2nd MV teaser,Teaser,Jia-Lin,3/18/2024,3,"1,028"
24,Lee Soo Man makes generous donation aids to closure of historic Hakchon Theater,News,Jia-Lin,3/18/2024,13,"2,834"
25,HIGHLIGHT move their 'BODY' in dance practice video,Misc,Jia-Lin,3/18/2024,0,968
26,KISS OF LIFE have the 'Midas Touch' in album preview video,Teaser,Jia-Lin,3/18/2024,2,"1,225"
27,THE NEW SIX (TNX) go hard in 2nd MV teaser for 'FUEGO',Teaser,Jia-Lin,3/18/2024,0,729
28,"BIBI wins #1 on 'Inkigayo' + Performances from HIGHLIGHT, Oh My Girls' YooA, Red Velvet's Wendy and more!",News,Jia-Lin,3/18/2024,5,"2,973"
29,"""The whole group is the main visual,"" Red Velvet members stun in new photoshoot for Pandora jewelry",News,Dani-Dee,3/18/2024,17,"10,241"
30,Girls' Generation's YoonA is a glamorous visual in new photos from Tokyo trip,News,Dani-Dee,03/17/2024,13,"5,551"
31,Chung Ha and her dancers put on quality performance in relay dance video for 'EENIE MEENIE',Misc,Dani-Dee,03/17/2024,3,"2,266"
32,"Daesung debuts new curly-haired look, says friends call him 'Daemothée Chalamet'",News,Dani-Dee,03/17/2024,17,"4,261"
33,Heize to release 'Hold Me Back' for 'Queen of Tears' OST later today (March 17),News,Dani-Dee,03/17/2024,0,"1,681"
34,BTS V's 'FRI(END)S' becomes his highest-ranking solo single on Spotify's 'Daily Top Songs Global' chart,News,Dani-Dee,03/17/2024,18,"3,202"
35,"Taeyeon, BLACKPINK's Jennie, and LE SSERAFIM's Kazuha top March's individual K-Pop female idol brand value rankings",News,Dani-Dee,03/17/2024,18,"7,693"
36,AI K-Idol Covers that are actually good,Original Content,ean1994,03/17/2024,13,"6,028"
37,BLACKPINK JISOO's Self-Portrait campaign generated over $2.7 Million in Media Impact Value (MIV) in just two days,News,Blink-News,03/17/2024,7,"5,529"
38,"""FRI(END)S"" by BTS's V (Kim Taehyung) debuts at #1 on YouTube’s Global Top Music Videos chart",News,YeontanNews,03/17/2024,21,"7,521"
39,Alleged entertainment industry insider spills the tea on what goes on behind the scenes,Rumors,Yaki-Jones,03/17/2024,38,"24,965"
40,'I Am Solo' cast member apologizes after revealing the behind-the-scenes of NCT Doyoung's McDonald's commercial,News,Yaki-Jones,03/17/2024,9,"9,609"
41,Voice actor for the Korean dubbing of 'Genshin Impact' and 'Case Closed' passes away at the age of 24,News,Yaki-Jones,03/17/2024,17,"19,736"
42,Netizens react to Han So Hee's replies to her blog post,News,Yaki-Jones,03/17/2024,117,"42,444"
43,Super Junior D&E decides to cancel music show appearances following backlash over 'GGB',News,Yaki-Jones,03/17/2024,82,"46,091"
44,"""FRI(END)S"" by BTS's V (Kim Taehyung) earns the biggest Spotify streaming debut by a male artist and K-pop act in 2024",News,YeontanNews,03/17/2024,18,"5,376"
45,Eugene exposes Bada that she once invited a man to their group home,Misc,Yaki-Jones,03/16/2024,23,"6,020"
46,New girl group RESCENE counts down to the group's official debut,News,Yaki-Jones,03/16/2024,1,"2,089"
47,ARTMS releases HaSeul's individual concept photo for 'Birth',News,Yaki-Jones,03/16/2024,7,"1,418"
48,TXT sets the scene for 'Minisode 3: TOMORROW' with new teaser photos,News,Yaki-Jones,03/16/2024,2,"1,722"
49,DAY6 welcomes you to the show in the latest MV teaser,Teaser,Yaki-Jones,03/16/2024,0,"1,096"
50,NCT Dream members make good their escape in new concept photos for '( )SCAPE Film: Chapter 5',News,Yaki-Jones,03/16/2024,2,"1,710"
51,xikers reveal retro 'study' version of 'We Don't Stop' dance practice,Misc,Germaine-Jay,03/16/2024,0,689
52,Apink's Namjoo makes a call in 'BAD' MV teaser,Teaser,Germaine-Jay,03/16/2024,2,"1,753"
53,VVUP hit the streets in 'Doo Doom Chit' performance MV,Music Video,Germaine-Jay,03/16/2024,1,"1,196"
54,STAYC releases official performance clip to their cover of TWICE's FANCY,Music Video,bartkun,03/16/2024,4,"1,535"
55,BTS' Jungkook updates fans with what he's been up to in the military,News,Germaine-Jay,03/16/2024,6,"15,888"
56,Junhyung's latest appearance at airport with HyunA surprises netizens,News,Germaine-Jay,03/16/2024,20,"18,274"
57,Netizens react after Han So Hee & Ryu Jun Yeol confirm they're dating,News,Germaine-Jay,03/16/2024,68,"53,018"
58,Oh My Girl's YooA drops 'Rooftop' dance practice video,Misc,Germaine-Jay,03/16/2024,1,"1,025"
59,AMPERS&ONE give preview of 'ONE HEARTED' in highlight medley,Teaser,Germaine-Jay,03/16/2024,0,799
60,THE NEW SIX (TNX) burn it up in 'Fuego' MV teaser,Teaser,Germaine-Jay,03/16/2024,0,921
61,"EXCLUSIVE [INTERVIEW] ASTRO's Cha Eun Woo on his solo debut album 'ENTITY': ""I believe being honest with yourself and others makes both singing and acting more authentic""",Original Content,Sofia-Sayson,03/16/2024,9,"5,454"
62,BIBI win #1 + Performances from March 16th 'Show! Music Core'!,News,Germaine-Jay,03/16/2024,5,"2,638"
63,Actress Ha Yeon Joo gets stitches on her head after suffering an injury on set,News,Yaki-Jones,03/16/2024,12,"4,480"
64,New girl group RESCENE's May and Zena show off their visuals ahead of the group's debut,News,Yaki-Jones,03/16/2024,1,"2,087"
65,Actor Lee Bum Soo and his wife to begin divorce mediation process,News,Yaki-Jones,03/16/2024,20,"40,658"
66,Gong Seung Yeon's agency officially comments on the relationship status of the actress,News,Yaki-Jones,03/16/2024,9,"26,696"
67,Gong Seung Yeon and Son Ho Joon are reportedly in a relationship,News,Yaki-Jones,03/16/2024,17,"53,747"
68,Netizens find pictures of Girl's Day's Hyeri and Ryu Joon Yeol allegedly using matching phone cases this year,Rumors,Yaki-Jones,03/16/2024,43,"38,907"
69,BTS V steals hearts in the latest photo booth snap with his fellow soldiers,News,Yaki-Jones,03/16/2024,15,"23,535"
70,Ryu Joon Yeol's agency officially confirms his relationship with Han So Hee,News,Yaki-Jones,03/16/2024,79,"78,559"
71,Han So Hee personally confirms her relationship with Ryu Joon Yeol on her blog,News,Yaki-Jones,03/16/2024,146,"146,579"
72,LE SSERAFIM's 'Perfect Night' surpasses 200 million streams on Spotify,News,Sofia-Sayson,03/16/2024,4,"1,660"
73,ARTMS releases the schedule for their 1st Full Album 'DALL (Devine All Love & Live)',News,anonymous1215151,03/16/2024,2,"1,561"
74,Son Suk Goo candidly answers reporters' questions about his relationship with Jang Do Yeon,News,Sophie-Ha,03/16/2024,9,"26,222"
75,VIXX member Leo confesses he was scammed,News,Sophie-Ha,03/16/2024,17,"15,243"
76,aespa's Karina adorably opens up about how she can never find sunglasses that look good on her,News,Sophie-Ha,03/16/2024,14,"9,440"
77,HyunA and Yong Jun Hyun spotted at the airport together,News,Sophie-Ha,03/16/2024,16,"15,060"
78,From Gloom to Bloom: 10 BTS Songs to add Beauty to the Vibrant Spring Season,Original Content,A-Nish,03/16/2024,5,"2,294"
79,"Daesung releases ""With Memories"" as the fourth OST for the drama 'Flex X Cop'",News,Sophie-Ha,03/16/2024,5,"2,644"
80,BTS's V receives a congratulatory cake from his fellow soldiers in honor of 'FRI(END)S' release,News,Sophie-Ha,03/16/2024,13,"10,130"
81,"PURPLE K!SS display their girl-crush charisma in the second music video teaser for ""BBB""",Teaser,Sophie-Ha,03/16/2024,3,"1,450"
82,IVE's first US solo concert was a spectacular Sold-Out Success,News,Sophie-Ha,03/16/2024,26,"9,337"
83,University professor criticizes the illegal viewing of the hit Korean movie 'Exhuma' in China in response to Chinese netizens mocking the film,News,Sophie-Ha,03/16/2024,24,"8,580"
84,UNIS roll out the second trailer film for their debut album 'We UNIS',Teaser,Sophie-Ha,03/16/2024,2,"1,760"
85,Throwback to Some of the Most Iconic OSTs,Original Content,ean1994,03/16/2024,15,"3,830"
86,"Actor Yoo Seung Ho stars in DAY6's ""Welcome to the Show"" music video teaser",Teaser,Sophie-Ha,03/16/2024,0,"1,443"
87,The Sister-in-law who distributed sex videos and blackmailed Hwang Ui Jo receives her prison sentence,BUZZ News,Sophie-Ha,03/16/2024,22,"13,422"
88,Check out ILLIT's highlight medley for their debut album 'Super Real Me',Teaser,Sophie-Ha,03/16/2024,10,"2,446"
89,ARTMS unveils individual concept photo of Heejin for their first premiere single 'Birth',News,Sophie-Ha,03/15/2024,6,"2,068"
90,TXT shares a hidden message from 'Minisode 3: TOMORROW',News,Sophie-Ha,03/15/2024,4,"1,962"
91,BABYMONSTER rolls out visual photo for their upcoming 1st mini-album 'BABYMONS7ER',News,Sophie-Ha,03/15/2024,13,"5,754"
92,K-netizens react to the alleged feud between Hyeri and Han So Hee over actor Ryu Joon Yeol,News,Sophie-Ha,03/15/2024,81,"48,634"
93,xikers break own record in 1st-week sales with latest comeback album,News,Sofia-Sayson,03/15/2024,1,"1,636"
94,MONSTA X' Kihyun drops special 'Stardust' MV for 2nd solo debut anniversary,Music Video,Germaine-Jay,03/15/2024,3,"1,157"
95,NCT's Taeyong takes you behind the scenes of 'TAP' dance practice,Misc,Germaine-Jay,03/15/2024,1,"1,303"
96,'Squid Game' actor Oh Young Soo sentenced to probation for indecent assault,News,Germaine-Jay,03/15/2024,11,"10,955"
97,Jennifer Lopez drops 'This Time Around' feat. (G)I-DLE,Music Video,Germaine-Jay,03/15/2024,16,"4,006"
98,Han So Hee allegedly responds to Hyeri's cryptic Instagram story following Ryu Joon Yeol's dating rumors,Rumors,Germaine-Jay,03/15/2024,85,"66,628"
99,AMPERS&ONE reveal individual 'Vivid Memories' image film teasers,Teaser,Germaine-Jay,03/15/2024,0,879
100,YOUNG POSSE reveal highlight medley for 'XXL' mini album,Teaser,Germaine-Jay,03/15/2024,1,992
101,BoA reveals comeback date with new album,News,Germaine-Jay,03/15/2024,5,"2,993"
102,LE SSERAFIM win #1 + Performances from March 15th 'Music Bank'!,News,Germaine-Jay,03/15/2024,4,"3,284"
103,INFINITE's Sunggyu & Woohyun sing 'Beautiful' for 'Four Lords: The Destiny Charger' OST,Music Video,Germaine-Jay,03/15/2024,1,"1,620"
104,DAY6 reveal preview of 'Fourever' in album sampler,Teaser,Germaine-Jay,03/15/2024,0,"1,079"
105,VCHA find their dream house in 'Only One' performance MV,Music Video,Germaine-Jay,03/15/2024,2,"1,443"
106,"Watch 'Music Bank' Live feat. NCT WISH, Wendy, CRAVITY, Highlight & more!",Live,Germaine-Jay,03/15/2024,0,"1,115"
107,Stray Kids' Hyunjin gifts fans with self-composed track 'Long for You',Misc,Germaine-Jay,03/15/2024,8,"2,288"
108,Girl's Day's Hyeri unfollows Ryu Joon Yeol on Instagram,News,Yaki-Jones,03/15/2024,54,"44,126"
109,BTS V kicks off Friday with the release of 'FRI(END)S',Music Video,Yaki-Jones,03/15/2024,28,"5,612"
110,Prosecution seeks a 2-year prison sentence for Shinhwa's Hyesung,News,Yaki-Jones,03/15/2024,13,"17,022"
111,Girl's Day's Hyeri shares a cryptic Instagram story amidst Ryu Joon Yeol's dating rumors,News,Yaki-Jones,03/15/2024,26,"65,856"
112,New girl group RESCENE gears up for debut with enchanting concept photos,News,Yaki-Jones,03/15/2024,3,"2,847"
113,Song Ha Yoon says she didn't even exchange greetings with Park Min Young on the set of 'Marry My Husband',News,Yaki-Jones,03/15/2024,8,"52,099"
114,Han So Hee updates her Instagram amidst the dating rumors,News,Yaki-Jones,03/15/2024,38,"37,702"
115,KISS OF LIFE confirms the group's April comeback date,News,Yaki-Jones,03/15/2024,1,"2,226"
116,Seven K-pop groups who achieved their first music show win in 2023,Original Content,ALSAN,03/15/2024,3,"3,208"
117,Ryu Joon Yeol and Han So Hee's agencies address the latest dating rumors,News,Yaki-Jones,03/15/2024,31,"32,561"
118,Kian84 to appear as a special guest on next week's 'You Quiz on the Block',News,Sophie-Ha,03/15/2024,0,"2,875"
119,Bang Yong Guk brings out the promotion teaser schedule for his third EP '3',News,Sophie-Ha,03/15/2024,3,"1,391"
120,UNIS wander around a mysterious barren land in the first trailer film for their debut,Teaser,Sophie-Ha,03/15/2024,4,"1,977"
121,"""What will the idols do?"" Legal and ethical concerns raised with the increasing number of AI generated cover songs",News,Sophie-Ha,03/15/2024,14,"6,205"
122,Super Junior D&E introduces the tracks to their upcoming 5th mini-album '606' through the tracklist teaser,News,Sophie-Ha,03/15/2024,3,"1,771"
123,HYBE's new girl group ILLIT stars in Acne Studios’ global campaign,News,Sofia-Sayson,03/15/2024,17,"5,010"
124,Cha Eun Woo selected as the new brand model for Sprite,News,Sophie-Ha,03/15/2024,3,"2,346"
125,Why the Guitar 🎸 has become RIIZE Wonbin’s Representative Emoji,Original Content,Rika-go,03/15/2024,2,"2,434"
126,RIIZE's Anton shares his trip to the U.S. during his break,News,Sophie-Ha,03/15/2024,3,"4,012"
127,"""2nd gen is the real deal,"" Highlight receives praise for their music program comeback stage",News,Sophie-Ha,03/15/2024,23,"18,834"
128,"The Boyz are ready for the summer in the music video trailer for the title track ""Nectar"" from 'Phantasy Pt. 3 Love Letter'",Teaser,Sophie-Ha,03/15/2024,0,925
129,EXCLUSIVE [INTERVIEW] DXMON opens up about preparing for 1st EP 'HYPERSPACE' and 'Rookie of the Year' aspiration,Original Content,Sofia-Sayson,03/15/2024,2,"2,095"
130,K-netizens react to the protest truck sent to JYPE demanding Hyunjin's withdrawal from Stray Kids,News,Sophie-Ha,03/15/2024,52,"24,403"
131,"""We are grateful to the protesters,"" Ticket sales surge to the Japanese adult video actress festival in Korea following the women's group protests",BUZZ News,Sophie-Ha,03/15/2024,92,"14,523"
132,DAY6 continues to gear up for their comeback with new group concept photos for 'FOUREVER',News,Sophie-Ha,03/15/2024,1,"1,278"
133,"Rookie boy group TWS finally reaches #1 on Melon's HOT100 music chart with ""Plot Twist""",News,Sophie-Ha,03/15/2024,2,"2,015"
134,Circle Chart releases chart rankings for March 3 to March 9,News,GhostWriter,03/15/2024,2,"2,226"
135,ARTMS rolls out the first pre-release teaser image for their 1st premiere single 'Birth',News,Sophie-Ha,03/15/2024,10,"2,545"
136,MONSTA X's I.M starts his solo comeback countdown with a teaser scheduler,News,Sophie-Ha,03/15/2024,2,"1,307"
137,Candy Shop rolls out a new concept trailer for their 1st mini-album 'Hashtag#',Teaser,Sophie-Ha,03/14/2024,2,"1,302"
138,JYP Entertainment releases statements regarding legal measures against the infringement of artists' rights,News,Sophie-Ha,03/14/2024,9,"5,958"
139,BABYMONSTER's Ahyeon makes a grand return through the stunning individual teaser photos for 'BABYMONS7ER',News,Sophie-Ha,03/14/2024,29,"15,386"
140,NCT Dream gets entangled in red strings in the new teaser for '( )SCAPE Film: Chapter 5',Teaser,Sophie-Ha,03/14/2024,1,"1,401"
141,VIXX' Hyuk survives in the cold in 'ae il' MV,Music Video,Germaine-Jay,03/14/2024,3,"1,511"
142,Apink's Namjoo reveals 'BAD' album highlight medley,Teaser,Germaine-Jay,03/14/2024,0,"1,369"
143,CRAVITY take you behind the scenes of 'EVERSHINE' photo shoot,Misc,Germaine-Jay,03/14/2024,1,830
144,IVE's Yujin trends in stunning dress for 'Fendi',News,Germaine-Jay,03/14/2024,15,"7,976"
145,SHINee's Minho gets in a suit for 'Stay for a Night' dance behind-the-scenes,Misc,Germaine-Jay,03/14/2024,1,"1,497"
146,LE SSERAFIM win #1 + Performances from March 14th 'M! Countdown'!,News,Germaine-Jay,03/14/2024,5,"2,734"
147,Pentagon's Kino teases upcoming 'Freaky Love' solo single,News,Germaine-Jay,03/14/2024,2,"1,217"
148,Fans send protest trucks demanding Hyunjin leave Stray Kids,News,Germaine-Jay,03/14/2024,147,"67,295"
149,AMPERS&ONE reveal intense 'Vivid Memories' image film teaser,Teaser,Germaine-Jay,03/14/2024,0,"1,230"
150,Virtual group PLAVE officially join 'million-seller' club on Circle chart,News,Sofia-Sayson,03/14/2024,14,"4,158"
151,Oh My Girl's YooA takes on double life in 'Rooftop' MV,Music Video,Germaine-Jay,03/14/2024,7,"2,582"
152,XODIAC live school days in 'HEYDAY' MV,Music Video,Germaine-Jay,03/14/2024,2,"1,437"
153,Heize reveals 'Hold Me Back' MV teaser for 'Queen of Tears' OST,Teaser,Germaine-Jay,03/14/2024,0,"1,900"
154,The Boyz' Sunwoo opens personal Instagram account,News,Germaine-Jay,03/14/2024,0,"3,685"
155,Indie band Lacuna drops new single 'bow-wow',News,Sofia-Sayson,03/14/2024,1,"1,351"
156,NCT WISH's 'WISH' debuts at #1 on this week's Circle Album Chart,News,Sofia-Sayson,03/14/2024,1,"1,537"
157,Netizens debate if RIIZE need an official leader in light of recent events,News,Solim-Yoon,03/14/2024,30,"9,179"
158,"BABYMONSTER set to perform at their first overseas music festival, 'Summer Sonic 2024 Tokyo'",News,Solim-Yoon,03/14/2024,13,"9,846"
159,"Hwa Sa announces her 1st fan-con tour, 'Twits'",News,Solim-Yoon,03/14/2024,6,"3,559"
160,VCHA show off their moves in their dream house in 'Only One' performance teaser 2,Teaser,Solim-Yoon,03/14/2024,2,"1,545"
161,RIIZE chosen as endorsement models for 'Woori Bank',News,Solim-Yoon,03/14/2024,3,"2,480"
162,"Renowned photographer & director Petra Collins arrives in Korea, fans suspect she's working on NewJeans' comeback",News,Solim-Yoon,03/14/2024,6,"5,473"
163,Limited edition collectible figure of Kim Hye Soo's character from 'Tazza: The High Rollers' sells out immediately upon release,News,Solim-Yoon,03/14/2024,19,"4,807"
164,Actor Jang Dong Yoon joins talent roster at BH Entertainment,News,Solim-Yoon,03/14/2024,2,"3,522"
165,Loossemble in the final stages of comeback preparations,News,Solim-Yoon,03/14/2024,6,"3,098"
166,Scriptwriter Kim Eun Hee confirms 'Signal' sequel after 8-year wait,Dramas,Solim-Yoon,03/14/2024,31,"11,778"
167,'Sea Urchin Idol' DXMON's Jo gets a hair makeover from celebrity stylist KIU-ssaem,News,Solim-Yoon,03/14/2024,19,"4,015"
168,Bang Ye Dam's upcoming digital single will be a duet with aespa's Winter,News,Solim-Yoon,03/14/2024,5,"4,834"
169,Actress Chae Seo Jin to tie the knot with a non-celebrity fiancé,News,Solim-Yoon,03/14/2024,3,"5,290"
170,BTOB's Sungjae to make his solo comeback,News,Solim-Yoon,03/14/2024,1,"2,283"
171,"UNIS's Seowon, Kotoko, Elisia, and Yoona are water fairies in the new set of teaser images for debut mini album 'We UNIS'",News,Sophie-Ha,03/14/2024,2,"4,700"
172,BLACKPINK's LISA joins Normani & Camila Cabello as the only female artists to have a song surpass 1 Billion Spotify streams both as as a Soloist and with a Group,News,Real-Kpop-News,03/14/2024,12,"3,244"
173,A South Korean missionary arrested on spying allegations in Russia,BUZZ News,Sophie-Ha,03/14/2024,19,"4,574"
174,Fans love NewJeans Hyein's adorable photo from when she was in elementary school,News,Sophie-Ha,03/14/2024,13,"4,531"
175,Five Hit K-Dramas with a BL (Boys Love) Plot Twist,Original Content,Rika-go,03/14/2024,6,"6,492"
176,Behind the scenes secrets to MAMAMOO's live vocal stability,Original Content,Luckymoomoo,03/14/2024,21,"5,982"
177,"CROWN HAITAI Holdings chairman praises BIBI for raising the sales of their chestnut jelly ""Bam Yang Gang"" thanks to her new song",News,Sophie-Ha,03/14/2024,2,"3,225"
178,TV personality Jonathan receives praise after passing the Korean History Proficiency Exam,News,Sophie-Ha,03/14/2024,33,"14,169"
179,Dowoon exudes calm vibes in the latest teasers for DAY6's 8th mini-album 'Fourever',News,Sophie-Ha,03/14/2024,0,"1,114"
180,K-netizens say former Wonder Girls' Lim shouldn't force her husband to follow her religion,News,Sophie-Ha,03/14/2024,124,"30,670"
181,Fans spend a special selca day with EXO's Chen,News,SabTab,03/14/2024,5,"3,806"
182,NewJeans' Hanni sets off on different adventures in the new global campaign 'Feels Like UGG',CF,Sophie-Ha,03/14/2024,3,"2,486"
183,Why netizens aren't buying the new dating rumor between aespa's Ningning and RIIZE's Wonbin,Rumors,Sophie-Ha,03/14/2024,40,"16,036"
184,Kim Soo Hyun is Back and Here are 5 of his Dramas You Need to Catch Up On,Original Content,ean1994,03/14/2024,4,"4,056"
185,HYBE unveils first lineup for 2024 'Weverse Con Festival',News,Sofia-Sayson,03/14/2024,3,"13,598"
186,ILLIT's Iroha shares her luck tips in the new introduction film teaser 'SUPER REAL ME Film',Teaser,Sophie-Ha,03/14/2024,6,"1,421"
187,Candy Shop unveils Delectably Sweet Image Teasers for their Debut,News,Sophie-Ha,03/14/2024,4,"1,656"
188,RIIZE Anton's Rumored Girlfriend's Sister Speaks Out,Rumors,Sophie-Ha,03/13/2024,28,"17,218"
189,TXT unveils an intriguing animation concept teaser for their 'minisode 3: TOMORROW',Teaser,Sophie-Ha,03/13/2024,2,"1,661"
190,BTS's J-Hope reflects on his life in dancing in the main trailer for his upcoming docu series 'HOPE ON THE STREET',Teaser,Sophie-Ha,03/13/2024,10,"2,159"
191,BABYMONSTER's Pharita and Rami display their beauty in the new visual photos for their 1st mini-album 'BABYMONS7ER',News,Sophie-Ha,03/13/2024,10,"3,682"
192,NCT Dream's Chenle and Jaemin continue their intense training in the new teaser '( )SCAPE Film: Chapter 4',Teaser,Sophie-Ha,03/13/2024,0,"1,566"
193,[PHOTOS] MAMAMOO's HWASA at the 'Wanderland Music Festival',Photos,Sofia-Sayson,03/13/2024,4,"1,919"
194,TIOT ready for mainstream debut following pre-debut success,News,Alec06,03/13/2024,1,"1,407"
195,Seventeen join lineup for 'Lollapalooza Berlin 2024',News,Germaine-Jay,03/13/2024,7,"4,643"
196,NCT WISH reveal behind-the-scenes of their debut,Misc,Germaine-Jay,03/13/2024,0,"1,038"
197,SM Entertainment takes legal stand against rumors affecting RIIZE members,News,Alec06,03/13/2024,30,"7,124"
198,LOONA's Yves signs with PAIX PER MIL after winning lawsuit against Blockberry Creative,News,Germaine-Jay,03/13/2024,11,"5,462"
199,Laboum and WSG Wannabe's Soyeon to make her solo debut,News,Alec06,03/13/2024,5,"1,803"
200,EXCLUSIVE [INTERVIEW] LUN8 on their first comeback with ‘BUFF’: “Positivity is what we want to give through our music and performances”,Original Content,Sofia-Sayson,03/13/2024,0,"1,333"
201,ASTRO's Cha Eun Woo is heading next to Manila for his 'Mystery Elevator' show this weekend,News,Sofia-Sayson,03/13/2024,2,"2,526"
202,Singer Hello Gayoung triumphantly overcomes blood cancer,News,Alec06,03/13/2024,6,"2,206"
203,NCT WISH's 'WISH' wins #1 on this week's 'Show Champion',News,Sofia-Sayson,03/13/2024,4,"1,447"
204,Forestella's Kang Hyung Ho & weathercaster Jung Min Kyung to tie the knot,News,Germaine-Jay,03/13/2024,3,"3,557"
205,Lee Young Ae and China's Fan Bingbing captivate in viral snapshot,News,Alec06,03/13/2024,9,"4,875"
206,n.SSign hit the streets in 'Funk Jam' MV teaser,Teaser,Germaine-Jay,03/13/2024,0,"1,061"
207,BTS' j-hope takes a break in 'Hope on the Street' docuseries preview photos,News,Germaine-Jay,03/13/2024,3,"2,346"
208,NOMAD feel the summer sun in 'California Love' MV,Music Video,Germaine-Jay,03/13/2024,2,"1,154"
209,BAE173 face the dark in 'Fifty-Fifty' MV,Music Video,Germaine-Jay,03/13/2024,6,"1,754"
210,Davichi returns with a new single this month,News,Alec06,03/13/2024,2,"1,495"
211,LUN8 show their steps in 'Super Power' MV,Music Video,Germaine-Jay,03/13/2024,1,"1,196"
212,Hwang Min Hyun sits waiting in 'Lullaby' official film MV,Music Video,Germaine-Jay,03/13/2024,1,"1,167"
213,(G)I-DLE & aespa to perform at '2024 MLB World Tour: Seoul Series',News,Germaine-Jay,03/13/2024,7,"3,228"
214,Rookie girl group VVUP makes bold debut with 'Doo Doom Chit' MV,Music Video,Alec06,03/13/2024,3,"2,449"
215,Nam Tae Hyun writes message to fans promising to return with music after drug scandal,News,Germaine-Jay,03/13/2024,7,"2,557"
216,(G)I-DLE's Shuhua allegedly spotted horseback riding during health hiatus,Rumors,Germaine-Jay,03/13/2024,85,"26,712"
217,Heo Yunjin of LE SSERAFIM features in Max's 'Stupid in Love' MV,Music Video,Alec06,03/13/2024,12,"4,059"
218,The cast of Netflix's 'Chicken Nugget' expresses excitement for the unique story ahead of its premiere,News,EunhaYi,03/13/2024,2,"4,019"
219,BTS Jungkook breaks records with longest-running chart on US Billboard Hot 100 among Korean solo artists,News,EunhaYi,03/13/2024,10,"4,064"
220,Hwang Minhyun reveals digital single 'Lullaby' will be final comeback before military service,News,EunhaYi,03/13/2024,2,"1,514"
221,AOMG clarifies that CEO's resignation is unrelated to Meenoi's controveries,News,EunhaYi,03/13/2024,7,"8,069"
222,DAY6 unveils Wonpil's teaser ahead of highly anticipated comeback,News,EunhaYi,03/13/2024,0,"1,062"
223,Actress Han Hyo Joo joins forces with renown Japanese actor Shun Oguri in romatic comedy,News,EunhaYi,03/13/2024,13,"10,706"
224,AOMG faces fallout from Meenoi incident as CEO DJ Pumpkin resigns,News,EunhaYi,03/13/2024,5,"17,429"
225,MBC's hit YouTube series 'Cleaning Freak BRIAN' gets TV pilot,News,EunhaYi,03/13/2024,4,"3,591"
226,Actor Park Shin Woo to marry longtime girlfriend after 8 years of dating,News,EunhaYi,03/13/2024,6,"29,846"
