,title,category,author_name,dates,num comments,num views,PER,LOC,ORG,MISC,group_PER,group_ORG,group_MISC,group_title_a,final_group
797,"(G)I-DLE, IVE, and TWICE top girl group brand value ranking for February",News,Dani-Dee,02/10/2024,17,"8,502",,,"IVE, TWICE",,,IVE,,,IVE
798,TWS 'Plot Twist' raises sajaegi allegations on MelOn chart,Rumors,Yaki-Jones,02/10/2024,18,"11,851",,,Mel,"Plot Twist, ##On",,,,TWS,TWS
799,TWICE's Nayeon channels Gossip Girl's Blair Waldorf in Tommy Hilfiger ensemble,News,Yaki-Jones,02/10/2024,14,"8,675","Nayeon, Blair Waldorf, Tommy Hilfiger",,T,Gossip Girl,,,,TWICE,TWICE
800,MAMAMOO's Wheein shares heartfelt Lunar New Years Greetings,News,Luckymoomoo,02/10/2024,6,"2,362",Wheein,,,Lunar New Years Greetings,,,,MAMAMOO,MAMAMOO
801,BLACKPINK's Lisa launches a global advertising campaign for her label LLOUD,News,Yaki-Jones,02/10/2024,60,"15,983",Lisa,,"BL, LL",,,,,BLACKPINK,BLACKPINK
802,New pictures of BTS j-hope as assistant drill instructor revealed,News,Yaki-Jones,02/10/2024,27,"19,784",,,BTS,,,BTS,,,BTS
803,NCT's TEN unveils striking teasers for his first solo mini album,News,Yaki-Jones,02/10/2024,2,"2,235",,,"NCT, TEN",,,NCT,,NCT,NCT
804,MAMAMOO's Moon Byul reveals 'Starlit of Muse' track list,News,Germaine-Jay,02/10/2024,8,"2,464",Moon Byul,,,Starlit of Muse,,,,MAMAMOO,MAMAMOO
805,ALL(H)OURS drop dance practice session for 'GOTCHA' debut track,Misc,Germaine-Jay,02/10/2024,3,"1,547",,,"AL, GO",,,AL,,AL,ALL(H)OURS
806,BTS' Jimin writes message to fans for the Lunar New Year,News,Germaine-Jay,02/10/2024,18,"14,071",Jimin,,,Lunar New Year,,,,BTS,BTS
807,EXO's D.O. causes laughter as he randomly asks fans to 'please look forward to 'Moana 2'',News,Susan-Han,02/10/2024,18,"20,874",EXO,,,Moana 2,EXO,,,EXO,EXO
808,"Seventeen, RIIZE, & The Boyz top K-Pop boy group brand value rankings for February",News,Susan-Han,02/09/2024,9,"6,584",,,"Seventeen, RIIZE, The Boyz, K -",Pop,,SEVENTEEN,,,SEVENTEEN
809,MAMAMOO's Hwa Sa reveals exciting plans for a full album release and a potential Solo Tour in 2024,News,Sophie-Ha,02/09/2024,7,"4,259",Hwa Sa,,"MA, ##O",Solo Tour,,,,MAMAMOO,MAMAMOO
810,BTS’ Suga’s Fashion Statement: Min Yoongi’s Top Boyfriend Looks,Original Content,A-Nish,02/09/2024,10,"5,595",Min Yoongi,,,"Statement, Top Boyfriend Looks",,,,BTS,BTS
811,MAMAMOO+ shares a heartfelt Lunar New Year Greetings Message,Misc,Luckymoomoo,02/09/2024,4,"1,626",,,,Lunar New Year Greetings Message,,,,MAMAMOO,MAMAMOO
812,TWICE reveal track list for 'With YOU-th' mini album,News,Germaine-Jay,02/09/2024,7,"4,554",,,TWICE,,,TWICE,,TWICE,TWICE
813,Red Velvet's Seulgi holds Q&A for first YouTube video,Misc,Germaine-Jay,02/09/2024,3,"2,618",,Seulgi,Red Velvet,,,Red Velvet,,,Red Velvet
814,BTS make history as 'Dynamite' hits 1.8 billion streams on Spotify,News,Sofia-Sayson,02/09/2024,5,"5,247",,,BT,"Dynamite, Spotify",,,,BTS,BTS
815,ALL(H)OURS drop 'Wao Wao' performance teaser video,Teaser,Germaine-Jay,02/09/2024,0,"1,348",Wao Wao,,,,,,,AL,AL
816,GOT7's Mark sits down for an interview with BamBam on 'Bam's House 2',Misc,Germaine-Jay,02/09/2024,2,"4,779","Mark, BamBam",,GOT7,Bam ' s House 2,,GOT7,,GOT7,GOT7
817,Red Velvet's Seulgi sings 'In My Memory' for 'Doctor Slump' OST,Music Video,Germaine-Jay,02/09/2024,2,"2,535",Seulgi,,Red Velvet,"In My Memory, Doctor Slump",,Red Velvet,,,Red Velvet
818,VCHA reveal special self-filmed MV for 'XO Call Me',Music Video,Germaine-Jay,02/09/2024,2,"1,879",,,,XO Call Me,,,,VCHA,VCHA
819,Netizens wonder if Weki Meki will make a group comeback before their contracts expire this year,News,Solim-Yoon,02/09/2024,21,"8,757",Weki Meki,,,,Weki Meki,,,,Weki Meki
820,LE SSERAFIM's Kim Chaewon & Hong Eunchae to guest on tvN's 'Amazing Saturday - Doremi Market',News,Solim-Yoon,02/08/2024,5,"2,948","Kim Chaewon, Hong Eunchae",,tvN,Amazing Saturday - Doremi Market,,,,LE SSERAFIM,LE SSERAFIM
821,New boy group NOMAD unveils track video for romantic song 'Oasis',Music Video,Solim-Yoon,02/08/2024,0,"1,958",,,"NOMAD, Oasis",,,NOMAD,,,NOMAD
822,(G)I-DLE's '2' debuts at #1 on this week's Circle album chart,News,Sofia-Sayson,02/08/2024,6,"2,906",,,Circle,,,Circle,,,(G)I-DLE
823,ZEROBASEONE Fan union demands Kim Ji Woong to halt his activities amidst the 'fan meeting profanity' controversy,News,Sophie-Ha,02/08/2024,79,"13,843",Kim Ji Woong,,,,,,,ZEROBASEONE,ZEROBASEONE
824,ASTRO's Sanha rolls out a 'Coming Soon' teaser for his comeback,News,Sophie-Ha,02/08/2024,3,"3,266",Sanha,,ASTRO,Coming Soon,,ASTRO,,ASTRO,ASTRO
825,NCT's TEN reveals dramatic '10 performance film for solo debut,Music Video,Germaine-Jay,02/08/2024,0,"3,079",,,"NCT, TEN",,,NCT,,NCT,NCT
826,CRAVITY group up in 'nightfall' concept photos for 'EVERSHINE',News,Germaine-Jay,02/08/2024,1,"1,317",,,CRAVITY,EVERSHINE,,CRAVITY,,CRAVITY,CRAVITY
827,Killin' It' becomes P1Harmony's best-selling album in first-day sales,News,Sofia-Sayson,02/08/2024,6,"3,754",,,P1Harmony,Killin ' It,,P1Harmony,,,P1Harmony
828,Project girl group Triple iz tease upcoming 'Road to Debut' trailer,Teaser,Germaine-Jay,02/08/2024,5,"4,262",,,Triple,Road to Debut,,Triple H,,,Triple iz
829,HyunA & former Highlight member Junhyung spotted on a mall date,News,Germaine-Jay,02/08/2024,38,"23,176","HyunA, Junhyung",,Highlight,,,Highlight,,,Highlight
830,Super Junior L.S.S. go back in time in 'JOKE' MV,Music Video,Germaine-Jay,02/08/2024,2,"3,068",,,Super Junior L. S. S.,,,SUPER JUNIOR-L.S.S.,,,SUPER JUNIOR-L.S.S.
831,FIFTY FIFTY reveal comeback plans & reorganization of members,News,Germaine-Jay,02/08/2024,31,"16,869",,,FIFTY FIFTY,,,FIFTY FIFTY,,FIFTY FIFTY,FIFTY FIFTY
832,"BLACKPINK's Lisa is next to take a bold step forward, founding her own label LLOUD",News,Solim-Yoon,02/08/2024,122,"33,442",Lisa,,"BLACKPINK, LLOUD",,,BLACKPINK,,BLACKPINK,BLACKPINK
833,BTS's V deployed to the Army's 2nd division in Chuncheon to begin his duties in the military police force,News,Solim-Yoon,02/08/2024,34,"23,365",,Chuncheon,Army,,,,,BTS,BTS
834,"DAY6, Billlie, & Fantasy Boys announced as performers for the first ever 'Asia Star Entertainer Awards'",News,Solim-Yoon,02/07/2024,1,"2,648",,,"DAY6, Billlie, &, Fantasy Boys",Asia Star Entertainer Awards,,DAY6,,DAY6,DAY6
835,"The Wind reveal more playful, childlike teasers for 'Our : YouthTeen'",News,Solim-Yoon,02/07/2024,0,"1,499",,,Wind,"The, Our : YouthTeen",,,THE7,,The Wind
836,Actress Moon Ga Young and NCT's Doyoung mesmerize in a pictorial for Dolce & Gabbana,News,Sophie-Ha,02/07/2024,28,"12,141","Moon Ga Young, NCT, Doyoung, Dolce & Gabbana",,,,NCT,,,,NCT
837,BLACKPINK's Jisoo dazzles in a stunning black dress at the Cartier Trinity Celebration event in Paris,News,Sophie-Ha,02/07/2024,16,"11,890",Jisoo,Paris,,Cartier Trinity Celebration,,,,BLACKPINK,BLACKPINK
838,MAMAMOO's Solar says she's working hard on her solo album,News,Luckymoomoo,02/07/2024,4,"2,953",,,"MAMAMOO, Solar",,,MAMAMOO,,MAMAMOO,MAMAMOO
839,RIIZE fans are going head over heels after seeing Sungchan's family vacation photos,News,Sophie-Ha,02/07/2024,5,"7,430",Sungchan,,,,,,,RIIZE,RIIZE
840,CL excites fans with a surprising 2NE1 reunion photo,News,Sophie-Ha,02/07/2024,13,"20,093",,,"CL, 2NE1",,,2NE1,,,2NE1
841,BTOB's Hyunsik releases the tracklist to his 2nd mini-album 'The Young Man and The Deep Sea',News,Sophie-Ha,02/07/2024,0,"1,763",Hyunsik,,BTOB,The Young Man and The Deep Sea,,BTOB,,BTOB,BTOB
842,iKON's DK (Donghyuk) unveils teaser schedule chart for his 1st solo album 'NAKSEO',News,Sophie-Ha,02/07/2024,2,"2,150",Donghyuk,,iKON,##KSEO,,iKON,,,iKON
843,BABYMONSTER reveal beautiful flowers in 'Stuck in the Middle' special stage video,Music Video,Germaine-Jay,02/07/2024,18,"3,955",,,,Stuck in the Middle,,,,BABYMONSTER,BABYMONSTER
844,NCT's Taeyong drops neon green teaser images for 'TAP',News,Germaine-Jay,02/07/2024,7,"2,428",Taeyong,,NCT,,,NCT,,NCT,NCT
845,LE SSERAFIM reveal track list for upcoming 'EASY' mini album,News,Germaine-Jay,02/07/2024,17,"5,403",,,"LE, EASY",,,,,LE SSERAFIM,LE SSERAFIM
846,TWICE's 'SET ME FREE' exceeds 100 million Spotify streams,News,Sofia-Sayson,02/07/2024,1,"2,669",,,TWICE,"##T ME FR, Spotify",,TWICE,,TWICE,TWICE
847,K-netizens react to restaurant which uploaded a CCTV footage of RIIZE's Wonbin dining at their establishment,News,Jia-Lin,02/07/2024,18,"15,231",,Won,RIIZE,##bin,,RIIZE,,,RIIZE
848,CRAVITY take on 'nightfall' flowers in 'EVERSHINE' concept photos,News,Germaine-Jay,02/07/2024,2,"1,557",,,,EVERSHINE,,,,CRAVITY,CRAVITY
849,BLACKPINK's Lisa reveals mysterious black-and-white teaser posters,News,Germaine-Jay,02/07/2024,15,"8,793",Lisa,,,,,,,BLACKPINK,BLACKPINK
850,BABYMONSTER's 'Batter Up' tops Mubeat's January video chart for the second consecutive month,News,Jia-Lin,02/07/2024,15,"2,464",,,Mubeat,Batter Up,,,,BABYMONSTER,BABYMONSTER
851,DXMON 'SPARK' off in self-cam MV,Music Video,Jia-Lin,02/07/2024,0,"1,194",,,D,,,,,DXMON,DXMON
852,BLACKPINK's Lisa spotted in Florida with rumored boyfriend Frederic Arnault's family,Rumors,Germaine-Jay,02/07/2024,67,"41,052","Lisa, Frederic Arnault",Florida,,,,,,BLACKPINK,BLACKPINK
853,LE SSERAFIM's 'Antifragile' surpasses 400 million streams on Spotify,News,Jia-Lin,02/07/2024,1,"1,719",,,,"Antifragile, Spotify",,,,LE SSERAFIM,LE SSERAFIM
854,CRAVITY selected as special DJ for MBC 'Idol Radio',News,Jia-Lin,02/07/2024,0,"1,377",,,MBC,Idol Radio,,,,CRAVITY,CRAVITY
855,Girls' Generation's Hyoyeon announces 2nd USA tour 'Cherry Blossom',News,Jia-Lin,02/07/2024,4,"3,201",,USA,"Girls ' Generation, Hyoyeon",Cherry Blossom,,Girls' Generation,,,Girls' Generation
856,EXO's Chanyeol to make triumphant return to acting in Netflix's mystery thriller 'Alone in the Woods',News,EunhaYi,02/07/2024,3,"4,468",Chanyeol,,"EX, Netflix",Alone in the Woods,,,,EXO,EXO
857,BTS' Jungkook continues impressive streak on US Billboard charts with 'GOLDEN',News,EunhaYi,02/07/2024,10,"5,578",Jungkook,,"BT, US, Billboard",,,,,BTS,BTS
858,"EXO's Suho, Hong Ye Ji, and Kim Min Gyu stun in new poster for 'The Crown Prince Has Disappeared'",Dramas,EunhaYi,02/06/2024,3,"5,129","Suho, Hong Ye Ji, Kim Min Gyu",,EXO,The Crown Prince Has Disappeared,,EXO,,EXO,EXO
859,NCT Dream set to return to the music scene with March comeback,News,EunhaYi,02/06/2024,6,"4,109",,,NCT Dream,,,NCT Dream,,NCT,NCT Dream
860,ENHYPEN announces encore tour across five U.S. cities following successful Seoul shows,News,EunhaYi,02/06/2024,7,"17,305",,"U. S., Seoul","EN, ##YPEN",,,,,ENHYPEN,ENHYPEN
861,"Red Velvet's Irene commits to another chapter, renews contract with SM Entertainment",News,EunhaYi,02/06/2024,39,"16,667",Irene,,"Red Velvet, SM Entertainment",,,Red Velvet,,,Red Velvet
862,RIIZE Anton's mother becomes a hot topic on online communities for her beauty,News,Sophie-Ha,02/06/2024,15,"30,685",Anton,,,,,,,RIIZE,RIIZE
863,The EXO members are still some of the most popular K-pop idols in China,News,Sophie-Ha,02/06/2024,17,"10,078",,China,EXO,,,EXO,,,EXO
864,Choi Ye Na talks about coming from a poor family and buying a home and luxury car after IZ*ONE,News,Sophie-Ha,02/06/2024,22,"10,273",Choi Ye Na,,,IZ * ONE,,,IZ*ONE,,IZ*ONE
865,The preliminary audition for selecting new FIFTY FIFTY members held in Singapore,News,Sophie-Ha,02/06/2024,21,"9,237",,Singapore,FIFTY FIFTY,,,FIFTY FIFTY,,,FIFTY FIFTY
866,TREASURE and their remarkable stage presence,Original Content,Rika-go,02/06/2024,9,"8,249",,,TREASURE,,,TREASURE,,TREASURE,TREASURE
