,title,category,author_name,dates,num comments,num views,entity_model1,ent_word_model1,nouns_model2
10,ZEROBASEONE captivates Japan: sold-out concerts & chart success,News,Alec06,3/18/2024,4,"1,256",LOC,Japan,"ZEROBASEONE, concerts, chart, success"
11,Lucas prepares for solo debut with schedule poster for 1st single 'Renegade',News,Janie-Reign,3/18/2024,5,"2,110","PER, MISC","Lucas, Renegade","debut, schedule, poster"
12,Netizens marvel at Jang Won Young looking like an AI at IVE's fan meeting,News,Janie-Reign,3/18/2024,10,"5,497","PER, ORG","Jang Won Young, IV","Netizens, Jang, Won, Young, AI, IVE, fan, meeting"
13,BLACKPINK's Jennie says she splits the bill with friends instead of paying alone,News,Janie-Reign,3/18/2024,19,"18,043",PER,Jennie,"BLACKPINK, bill, friends"
14,BTS's V (Kim Taehyung) is a stunner in the behind-the-scenes photos for the 'FRI(END)S' music video,News,YeontanNews,3/18/2024,16,"2,720","ORG, PER","BTS, Kim Taehyung","V, Kim, Taehyung, stunner, scenes, photos, FRI(END)S, music, video"
15,SPOILER Fans speculate that Alan Walker and MAMAMOO's Wheein may be gearing up for a collab,Rumors,Luckymoomoo,3/18/2024,7,"1,544","PER, ORG, PER","Alan Walker, MAMAMOO, Wheein","SPOILER, Fans, Alan, Walker, collab"
16,Han So Hee's comments on Ryu Jun Yeol's breakup timeline clash with last year's official announcements,News,Janie-Reign,3/18/2024,73,"26,584","PER, PER","Han So Hee, Ryu Jun Yeol","Han, So, Hee, comments, Ryu, Jun, Yeol, breakup, timeline, year, announcements"
17,K-netizens react to Shohei Ohtani saying that Korea is one of his favorite countries,News,Janie-Reign,3/18/2024,15,"7,742","PER, LOC","Shohei Ohtani, Korea","K, netizens, Shohei, Ohtani, countries"
18,Creative Group Ing says Girl's Day's Hyeri has no plans to respond to the Instagram story incident,News,Janie-Reign,3/18/2024,41,"18,492","ORG, MISC, PER","Creative Group Ing, Girl ' s Day, Hyeri","Creative, Group, Ing, Girl, Day, plans, Instagram, story, incident"
19,TOMORROW x TOGETHER follow the 'Light' in ethereal concept clip and images for 'minisode 3: TOMORROW',Teaser,Janie-Reign,3/18/2024,2,"1,196",MISC,##MORROW,"TOMORROW, Light, concept, clip, images, TOMORROW"
20,ILLIT can't fall asleep in this enchanting visual teaser for debut title song 'Magnetic',Teaser,Janie-Reign,3/18/2024,1,"1,246","ORG, ORG, MISC","IL, ##IT, Magnetic","ILLIT, teaser, debut, title, song"
21,Han So Hee makes her Instagram account private,News,Janie-Reign,3/18/2024,83,"17,888",PER,Han So Hee,"Han, Hee, Instagram, account"
22,"Yang Hyun Suk provides track-by-track breakdown of BABYMONSTER's mini album, announcing Charlie Puth's contribution",Misc,Janie-Reign,3/18/2024,38,"6,176","PER, ORG, PER","Yang Hyun Suk, BABYMONSTER, Charlie Puth","Yang, Hyun, Suk, track, track, breakdown, album, Charlie, Puth, contribution"
23,Apink's Namjoo shows her 'BAD' side in 2nd MV teaser,Teaser,Jia-Lin,3/18/2024,3,"1,028","PER, PER","Apink, Namjoo","side, MV, teaser"
24,Lee Soo Man makes generous donation aids to closure of historic Hakchon Theater,News,Jia-Lin,3/18/2024,13,"2,834","PER, LOC","Lee Soo Man, Hakchon Theater","Lee, Soo, Man, donation, aids, closure, Hakchon, Theater"
25,HIGHLIGHT move their 'BODY' in dance practice video,Misc,Jia-Lin,3/18/2024,0,968,ORG,HIGHLIGHT,"BODY, dance, practice, video"
26,KISS OF LIFE have the 'Midas Touch' in album preview video,Teaser,Jia-Lin,3/18/2024,2,"1,225","ORG, MISC","KISS OF LIFE, Midas Touch","KISS, LIFE, Midas, Touch, album, preview, video"
27,THE NEW SIX (TNX) go hard in 2nd MV teaser for 'FUEGO',Teaser,Jia-Lin,3/18/2024,0,729,"ORG, ORG","THE NEW SIX, ##X","NEW, SIX, TNX, MV, teaser, FUEGO"
28,"BIBI wins #1 on 'Inkigayo' + Performances from HIGHLIGHT, Oh My Girls' YooA, Red Velvet's Wendy and more!",News,Jia-Lin,3/18/2024,5,"2,973","MISC, MISC, MISC, MISC, ORG, MISC","Inkigayo, Performances from HIGHLIGHT, Oh My Girls, YooA, Red Velvet, Wendy","BIBI, Performances, HIGHLIGHT, Girls, Red, Velvet"
29,"""The whole group is the main visual,"" Red Velvet members stun in new photoshoot for Pandora jewelry",News,Dani-Dee,3/18/2024,17,"10,241","ORG, ORG","Red Velvet, Pandora","group, visual, Red, Velvet, members, stun, photoshoot, jewelry"
30,Girls' Generation's YoonA is a glamorous visual in new photos from Tokyo trip,News,Dani-Dee,03/17/2024,13,"5,551","ORG, PER, LOC","Girls ' Generation, YoonA, Tokyo","Girls, Generation, visual, photos, trip"
31,Chung Ha and her dancers put on quality performance in relay dance video for 'EENIE MEENIE',Misc,Dani-Dee,03/17/2024,3,"2,266",PER,Chung Ha,"Chung, Ha, dancers, quality, performance, relay, dance, video, EENIE, MEENIE"
32,"Daesung debuts new curly-haired look, says friends call him 'Daemothée Chalamet'",News,Dani-Dee,03/17/2024,17,"4,261","PER, PER","Daesung, Daemothée Chalamet","look, friends, Daemothée, Chalamet"
33,Heize to release 'Hold Me Back' for 'Queen of Tears' OST later today (March 17),News,Dani-Dee,03/17/2024,0,"1,681","PER, MISC, MISC","He, Hold Me Back, Queen of Tears","Queen, Tears, OST, today, March"
34,BTS V's 'FRI(END)S' becomes his highest-ranking solo single on Spotify's 'Daily Top Songs Global' chart,News,Dani-Dee,03/17/2024,18,"3,202","PER, MISC, MISC","BTS V, Spotify, Daily Top Songs Global","BTS, V, FRI(END)S, solo, Daily, Top, Songs, Global, chart"
35,"Taeyeon, BLACKPINK's Jennie, and LE SSERAFIM's Kazuha top March's individual K-Pop female idol brand value rankings",News,Dani-Dee,03/17/2024,18,"7,693","PER, ORG, PER, ORG, PER, ORG","Taeyeon, BLACKPINK, Jennie, LE SSERAFIM, Kazuha, K - Pop","LE, SSERAFIM, March, K, Pop, idol, brand, value"
36,AI K-Idol Covers that are actually good,Original Content,ean1994,03/17/2024,13,"6,028",MISC,AI K - Idol,"AI, K, Idol, Covers"
37,BLACKPINK JISOO's Self-Portrait campaign generated over $2.7 Million in Media Impact Value (MIV) in just two days,News,Blink-News,03/17/2024,7,"5,529","ORG, MISC, MISC","##ISOO, Self - Portrait, Media Impact Value","BLACKPINK, JISOO, Self, Portrait, campaign, Media, Impact, Value, MIV, days"
38,"""FRI(END)S"" by BTS's V (Kim Taehyung) debuts at #1 on YouTube’s Global Top Music Videos chart",News,YeontanNews,03/17/2024,21,"7,521","ORG, PER, ORG, MISC","BTS, Kim Taehyung, YouTube, Global Top Music Videos","FRI(END)S, V, Kim, Taehyung, Global, Top, Music, Videos"
39,Alleged entertainment industry insider spills the tea on what goes on behind the scenes,Rumors,Yaki-Jones,03/17/2024,38,"24,965",MISC,Alle,"entertainment, industry, insider, tea, scenes"
40,'I Am Solo' cast member apologizes after revealing the behind-the-scenes of NCT Doyoung's McDonald's commercial,News,Yaki-Jones,03/17/2024,9,"9,609","MISC, PER, ORG","I Am Solo, NCT Doyoung, McDonald ' s","Solo, cast, member, apologizes, scenes, NCT, Doyoung, McDonald, commercial"
41,Voice actor for the Korean dubbing of 'Genshin Impact' and 'Case Closed' passes away at the age of 24,News,Yaki-Jones,03/17/2024,17,"19,736","MISC, MISC, MISC","Korean, Genshin Impact, Case Closed","Voice, actor, dubbing, Genshin, Impact, Case, Closed, age"
42,Netizens react to Han So Hee's replies to her blog post,News,Yaki-Jones,03/17/2024,117,"42,444",PER,Han So Hee,"Netizens, Han, So, Hee, replies, blog, post"
43,Super Junior D&E decides to cancel music show appearances following backlash over 'GGB',News,Yaki-Jones,03/17/2024,82,"46,091",ORG,Super Junior D & E,"Super, Junior, D&E, music, show, appearances, backlash, GGB"
44,"""FRI(END)S"" by BTS's V (Kim Taehyung) earns the biggest Spotify streaming debut by a male artist and K-pop act in 2024",News,YeontanNews,03/17/2024,18,"5,376","ORG, PER, MISC","BTS, Kim Taehyung, Spotify","FRI(END)S, V, Kim, Taehyung, streaming, debut, artist, K, pop, act"
45,Eugene exposes Bada that she once invited a man to their group home,Misc,Yaki-Jones,03/16/2024,23,"6,020","PER, PER","Eugene, Bada","man, group, home"
46,New girl group RESCENE counts down to the group's official debut,News,Yaki-Jones,03/16/2024,1,"2,089",ORG,RESCENE,"girl, group, group, debut"
47,ARTMS releases HaSeul's individual concept photo for 'Birth',News,Yaki-Jones,03/16/2024,7,"1,418","ORG, ORG, PER, MISC","AR, ##S, HaSeul, Birth","ARTMS, concept, photo"
48,TXT sets the scene for 'Minisode 3: TOMORROW' with new teaser photos,News,Yaki-Jones,03/16/2024,2,"1,722","ORG, MISC","TXT, Minisode 3 : TOMORROW","scene, Minisode, TOMORROW, teaser, photos"
49,DAY6 welcomes you to the show in the latest MV teaser,Teaser,Yaki-Jones,03/16/2024,0,"1,096",ORG,DAY6,"show, MV, teaser"
50,NCT Dream members make good their escape in new concept photos for '( )SCAPE Film: Chapter 5',News,Yaki-Jones,03/16/2024,2,"1,710","ORG, MISC","NCT Dream, SCAPE Film : Chapter 5","Dream, members, escape, concept, photos, SCAPE, Film, Chapter"
51,xikers reveal retro 'study' version of 'We Don't Stop' dance practice,Misc,Germaine-Jay,03/16/2024,0,689,MISC,We Don ' t Stop,"xikers, retro, study, version, dance, practice"
52,Apink's Namjoo makes a call in 'BAD' MV teaser,Teaser,Germaine-Jay,03/16/2024,2,"1,753","ORG, PER","Apink, Namjoo","call, BAD, MV, teaser"
53,VVUP hit the streets in 'Doo Doom Chit' performance MV,Music Video,Germaine-Jay,03/16/2024,1,"1,196","PER, MISC, PER","', Doo Doom, Chit","VVUP, streets, Doo, Doom, performance, MV"
54,STAYC releases official performance clip to their cover of TWICE's FANCY,Music Video,bartkun,03/16/2024,4,"1,535","ORG, ORG, MISC, ORG, MISC","STAYC, T, ##WIC, ##E, s FANCY","performance, clip, cover, TWICE"
55,BTS' Jungkook updates fans with what he's been up to in the military,News,Germaine-Jay,03/16/2024,6,"15,888","ORG, PER","BT, Jungkook","BTS, fans, military"
56,Junhyung's latest appearance at airport with HyunA surprises netizens,News,Germaine-Jay,03/16/2024,20,"18,274","PER, PER","Junhyung, HyunA","appearance, airport, netizens"
57,Netizens react after Han So Hee & Ryu Jun Yeol confirm they're dating,News,Germaine-Jay,03/16/2024,68,"53,018","PER, PER","Han So Hee, Ryu Jun Yeol","Netizens, Han, So, Hee, Ryu, Jun, Yeol"
58,Oh My Girl's YooA drops 'Rooftop' dance practice video,Misc,Germaine-Jay,03/16/2024,1,"1,025","MISC, PER, MISC","Oh My Girl ' s Yoo, ##A, Rooftop","Girl, YooA, dance, practice, video"
59,AMPERS&ONE give preview of 'ONE HEARTED' in highlight medley,Teaser,Germaine-Jay,03/16/2024,0,799,"ORG, ORG","AMPERS, ONE","preview, HEARTED, highlight, medley"
60,THE NEW SIX (TNX) burn it up in 'Fuego' MV teaser,Teaser,Germaine-Jay,03/16/2024,0,921,MISC,Fuego,"NEW, SIX, TNX, MV, teaser"
61,"EXCLUSIVE [INTERVIEW] ASTRO's Cha Eun Woo on his solo debut album 'ENTITY': ""I believe being honest with yourself and others makes both singing and acting more authentic""",Original Content,Sofia-Sayson,03/16/2024,9,"5,454","ORG, ORG, PER","AS, ##RO, Cha Eun Woo","EXCLUSIVE, INTERVIEW, ASTRO, Cha, Eun, Woo, debut, album, ENTITY, others, singing"
62,BIBI win #1 + Performances from March 16th 'Show! Music Core'!,News,Germaine-Jay,03/16/2024,5,"2,638",MISC,Show! Music Core,"BIBI, Performances, March, 16th, Show, Music, Core"
63,Actress Ha Yeon Joo gets stitches on her head after suffering an injury on set,News,Yaki-Jones,03/16/2024,12,"4,480",PER,Ha Yeon Joo,"Actress, Ha, Yeon, Joo, stitches, head, injury, set"
64,New girl group RESCENE's May and Zena show off their visuals ahead of the group's debut,News,Yaki-Jones,03/16/2024,1,"2,087","ORG, PER, PER","RESCENE, May, Zena","girl, group, visuals, group, debut"
65,Actor Lee Bum Soo and his wife to begin divorce mediation process,News,Yaki-Jones,03/16/2024,20,"40,658",PER,Lee Bum Soo,"Actor, Lee, Bum, Soo, wife, divorce, mediation, process"
66,Gong Seung Yeon's agency officially comments on the relationship status of the actress,News,Yaki-Jones,03/16/2024,9,"26,696",PER,Gong Seung Yeon,"Gong, Seung, Yeon, agency, relationship, status, actress"
67,Gong Seung Yeon and Son Ho Joon are reportedly in a relationship,News,Yaki-Jones,03/16/2024,17,"53,747","PER, PER","Gong Seung Yeon, Son Ho Joon","Gong, Seung, Yeon, Son, Ho, Joon, relationship"
68,Netizens find pictures of Girl's Day's Hyeri and Ryu Joon Yeol allegedly using matching phone cases this year,Rumors,Yaki-Jones,03/16/2024,43,"38,907","MISC, PER, PER","Girl ' s Day, Hyeri, Ryu Joon Yeol","Netizens, pictures, Girl, Day, Ryu, Joon, Yeol, phone, cases, year"
69,BTS V steals hearts in the latest photo booth snap with his fellow soldiers,News,Yaki-Jones,03/16/2024,15,"23,535","PER, MISC, PER","BT, ##S, V","BTS, hearts, photo, booth, soldiers"
70,Ryu Joon Yeol's agency officially confirms his relationship with Han So Hee,News,Yaki-Jones,03/16/2024,79,"78,559","PER, PER","Ryu Joon Yeol, Han So Hee","Ryu, Joon, Yeol, agency, relationship, Han, So, Hee"
71,Han So Hee personally confirms her relationship with Ryu Joon Yeol on her blog,News,Yaki-Jones,03/16/2024,146,"146,579","PER, PER","Han So Hee, Ryu Joon Yeol","Han, Hee, relationship, Ryu, Joon, Yeol, blog"
72,LE SSERAFIM's 'Perfect Night' surpasses 200 million streams on Spotify,News,Sofia-Sayson,03/16/2024,4,"1,660","MISC, MISC","Perfect Night, Spotify","LE, SSERAFIM, Perfect, Night, streams"
73,ARTMS releases the schedule for their 1st Full Album 'DALL (Devine All Love & Live)',News,anonymous1215151,03/16/2024,2,"1,561","ORG, ORG, MISC","AR, ##S, DALL ( Devine All Love & Live )","ARTMS, schedule, Album, DALL, Devine, All, Love, Live"
74,Son Suk Goo candidly answers reporters' questions about his relationship with Jang Do Yeon,News,Sophie-Ha,03/16/2024,9,"26,222","PER, PER","Suk Goo, Jang Do Yeon","Son, Suk, Goo, reporters, questions, relationship, Jang, Yeon"
75,VIXX member Leo confesses he was scammed,News,Sophie-Ha,03/16/2024,17,"15,243",PER,Leo,member
76,aespa's Karina adorably opens up about how she can never find sunglasses that look good on her,News,Sophie-Ha,03/16/2024,14,"9,440",PER,Karina,"aespa, sunglasses"
77,HyunA and Yong Jun Hyun spotted at the airport together,News,Sophie-Ha,03/16/2024,16,"15,060","PER, PER","HyunA, Yong Jun Hyun","Yong, Jun, Hyun, airport"
78,From Gloom to Bloom: 10 BTS Songs to add Beauty to the Vibrant Spring Season,Original Content,A-Nish,03/16/2024,5,"2,294","MISC, MISC","Gloom to Bloom, 10 BTS Songs to add Beauty to the Vibrant Spring Season","Gloom, Bloom, BTS, Songs, Beauty, Vibrant, Spring, Season"
79,"Daesung releases ""With Memories"" as the fourth OST for the drama 'Flex X Cop'",News,Sophie-Ha,03/16/2024,5,"2,644","ORG, MISC, MISC","Daesung, With Memories, Flex X Cop","Memories, OST, drama, Flex, X, Cop"
80,BTS's V receives a congratulatory cake from his fellow soldiers in honor of 'FRI(END)S' release,News,Sophie-Ha,03/16/2024,13,"10,130",ORG,BTS,"V, cake, soldiers, honor, FRI(END)S, release"
81,"PURPLE K!SS display their girl-crush charisma in the second music video teaser for ""BBB""",Teaser,Sophie-Ha,03/16/2024,3,"1,450","ORG, ORG, MISC","P, K! SS, BBB","PURPLE, K!SS, girl, crush, charisma, music, video, teaser"
82,IVE's first US solo concert was a spectacular Sold-Out Success,News,Sophie-Ha,03/16/2024,26,"9,337","ORG, LOC, MISC","IVE, US, Sold - Out Success","solo, concert, Success"
83,University professor criticizes the illegal viewing of the hit Korean movie 'Exhuma' in China in response to Chinese netizens mocking the film,News,Sophie-Ha,03/16/2024,24,"8,580","MISC, MISC, LOC, MISC","Korean, Exhuma, China, Chinese","University, professor, viewing, movie, response, netizens, film"
84,UNIS roll out the second trailer film for their debut album 'We UNIS',Teaser,Sophie-Ha,03/16/2024,2,"1,760","ORG, MISC","UNIS, We UNIS","trailer, film, debut, album"
85,Throwback to Some of the Most Iconic OSTs,Original Content,ean1994,03/16/2024,15,"3,830",MISC,Throwback to Some of the Most Iconic OSTs,OSTs
86,"Actor Yoo Seung Ho stars in DAY6's ""Welcome to the Show"" music video teaser",Teaser,Sophie-Ha,03/16/2024,0,"1,443","PER, ORG, MISC","Yoo Seung Ho, DAY6, Welcome to the Show","Actor, Yoo, Seung, Ho, Welcome, Show, music, video, teaser"
87,The Sister-in-law who distributed sex videos and blackmailed Hwang Ui Jo receives her prison sentence,BUZZ News,Sophie-Ha,03/16/2024,22,"13,422",PER,Hwang Ui Jo,"Sister, law, sex, videos, Hwang, Ui, Jo, prison, sentence"
88,Check out ILLIT's highlight medley for their debut album 'Super Real Me',Teaser,Sophie-Ha,03/16/2024,10,"2,446","ORG, ORG, MISC","IL, ##IT, Super Real Me","ILLIT, highlight, medley, debut, album, Super, Real"
89,ARTMS unveils individual concept photo of Heejin for their first premiere single 'Birth',News,Sophie-Ha,03/15/2024,6,"2,068","ORG, PER, MISC","AR, Heejin, Birth","ARTMS, concept, photo"
90,TXT shares a hidden message from 'Minisode 3: TOMORROW',News,Sophie-Ha,03/15/2024,4,"1,962",MISC,Minisode 3 : TOMORROW,"TXT, shares, message, Minisode, TOMORROW"
91,BABYMONSTER rolls out visual photo for their upcoming 1st mini-album 'BABYMONS7ER',News,Sophie-Ha,03/15/2024,13,"5,754","ORG, MISC","BABYMONSTER, BABYMONS7ER","photo, -, album, '"
92,K-netizens react to the alleged feud between Hyeri and Han So Hee over actor Ryu Joon Yeol,News,Sophie-Ha,03/15/2024,81,"48,634","PER, PER, PER","Hyeri, Han So Hee, Ryu Joon Yeol","K, netizens, feud, Han, Hee, actor, Ryu, Joon, Yeol"
93,xikers break own record in 1st-week sales with latest comeback album,News,Sofia-Sayson,03/15/2024,1,"1,636",ORG,xiker,"xikers, record, week, sales, comeback, album"
94,MONSTA X' Kihyun drops special 'Stardust' MV for 2nd solo debut anniversary,Music Video,Germaine-Jay,03/15/2024,3,"1,157","PER, MISC","X ' Kihyun, Stardust","MONSTA, X, Kihyun, MV, debut, anniversary"
95,NCT's Taeyong takes you behind the scenes of 'TAP' dance practice,Misc,Germaine-Jay,03/15/2024,1,"1,303","ORG, PER","NC, Taeyong","NCT, scenes, TAP, dance, practice"
96,'Squid Game' actor Oh Young Soo sentenced to probation for indecent assault,News,Germaine-Jay,03/15/2024,11,"10,955","MISC, PER","Squid Game, Oh Young Soo","Squid, Game, actor, Young, Soo, probation, indecent, assault"
97,Jennifer Lopez drops 'This Time Around' feat. (G)I-DLE,Music Video,Germaine-Jay,03/15/2024,16,"4,006","PER, MISC","Jennifer Lopez, This Time Around","Jennifer, Lopez, Time, Around, feat, G)I, DLE"
98,Han So Hee allegedly responds to Hyeri's cryptic Instagram story following Ryu Joon Yeol's dating rumors,Rumors,Germaine-Jay,03/15/2024,85,"66,628","PER, PER, PER","Han So Hee, Hyeri, Ryu Joon Yeol","Han, Hee, Instagram, story, Ryu, Joon, Yeol, rumors"
99,AMPERS&ONE reveal individual 'Vivid Memories' image film teasers,Teaser,Germaine-Jay,03/15/2024,0,879,MISC,Vivid Memories,"Vivid, Memories, image, film, teasers"
100,YOUNG POSSE reveal highlight medley for 'XXL' mini album,Teaser,Germaine-Jay,03/15/2024,1,992,"ORG, ORG","YOUNG POSSE, XXL","YOUNG, POSSE, highlight, medley, album"
101,BoA reveals comeback date with new album,News,Germaine-Jay,03/15/2024,5,"2,993",PER,BoA,"comeback, date, album"
102,LE SSERAFIM win #1 + Performances from March 15th 'Music Bank'!,News,Germaine-Jay,03/15/2024,4,"3,284",MISC,Music Bank,"LE, SSERAFIM, Performances, March, 15th, Music, Bank"
103,INFINITE's Sunggyu & Woohyun sing 'Beautiful' for 'Four Lords: The Destiny Charger' OST,Music Video,Germaine-Jay,03/15/2024,1,"1,620","PER, PER, MISC","Sunggyu, Woohyun, Four Lords : The Destiny Charger","INFINITE, Four, Lords, Destiny, Charger, OST"
104,DAY6 reveal preview of 'Fourever' in album sampler,Teaser,Germaine-Jay,03/15/2024,0,"1,079","ORG, ORG, MISC","DA, ##6, Fourever","DAY6, preview, album, sampler"
105,VCHA find their dream house in 'Only One' performance MV,Music Video,Germaine-Jay,03/15/2024,2,"1,443","ORG, MISC","VCHA, Only One","dream, house, performance, MV"
106,"Watch 'Music Bank' Live feat. NCT WISH, Wendy, CRAVITY, Highlight & more!",Live,Germaine-Jay,03/15/2024,0,"1,115","MISC, PER, PER, MISC","Music Bank ' Live, NCT WISH, Wendy, ##light","Music, Bank, feat, WISH, CRAVITY, Highlight"
107,Stray Kids' Hyunjin gifts fans with self-composed track 'Long for You',Misc,Germaine-Jay,03/15/2024,8,"2,288","ORG, PER, MISC","Stray Kids, Hyunjin, Long for You","Stray, Kids, gifts, fans, self, track"
108,Girl's Day's Hyeri unfollows Ryu Joon Yeol on Instagram,News,Yaki-Jones,03/15/2024,54,"44,126","MISC, PER, PER","Girl ' s Day, Hyeri, Ryu Joon Yeol","Girl, Day, Ryu, Joon, Yeol, Instagram"
109,BTS V kicks off Friday with the release of 'FRI(END)S',Music Video,Yaki-Jones,03/15/2024,28,"5,612",PER,BTS V,"BTS, V, kicks, Friday, release, FRI(END)S"
110,Prosecution seeks a 2-year prison sentence for Shinhwa's Hyesung,News,Yaki-Jones,03/15/2024,13,"17,022","PER, MISC, PER","Shinhwa, Hy, ##esu","Prosecution, year, prison, sentence, Hyesung"
111,Girl's Day's Hyeri shares a cryptic Instagram story amidst Ryu Joon Yeol's dating rumors,News,Yaki-Jones,03/15/2024,26,"65,856","MISC, PER, PER","Girl ' s Day, Hyeri, Ryu Joon Yeol","Girl, Day, Instagram, story, Ryu, Joon, Yeol, rumors"
112,New girl group RESCENE gears up for debut with enchanting concept photos,News,Yaki-Jones,03/15/2024,3,"2,847",ORG,RESCENE,"girl, group, debut, concept, photos"
113,Song Ha Yoon says she didn't even exchange greetings with Park Min Young on the set of 'Marry My Husband',News,Yaki-Jones,03/15/2024,8,"52,099","PER, PER, MISC","Song Ha Yoon, Park Min Young, Marry My Husband","Song, Ha, Yoon, greetings, Park, Min, Young, set, Marry, Husband"
114,Han So Hee updates her Instagram amidst the dating rumors,News,Yaki-Jones,03/15/2024,38,"37,702",PER,Han So Hee,"Han, Hee, Instagram, rumors"
115,KISS OF LIFE confirms the group's April comeback date,News,Yaki-Jones,03/15/2024,1,"2,226","ORG, MISC, ORG, MISC, ORG","K, ##ISS, OF L, ##IF, ##E","KISS, LIFE, group, April, comeback, date"
116,Seven K-pop groups who achieved their first music show win in 2023,Original Content,ALSAN,03/15/2024,3,"3,208",ORG,K - pop,"K, pop, groups, music, show, win"
117,Ryu Joon Yeol and Han So Hee's agencies address the latest dating rumors,News,Yaki-Jones,03/15/2024,31,"32,561","PER, PER","Ryu Joon Yeol, Han So Hee","Ryu, Joon, Yeol, Han, So, Hee, agencies, rumors"
118,Kian84 to appear as a special guest on next week's 'You Quiz on the Block',News,Sophie-Ha,03/15/2024,0,"2,875",MISC,You Quiz on the Block,"Kian84, guest, week, Quiz, Block"
119,Bang Yong Guk brings out the promotion teaser schedule for his third EP '3',News,Sophie-Ha,03/15/2024,3,"1,391",PER,Bang Yong Guk,"Bang, Yong, Guk, promotion, teaser, schedule, EP, '"
120,UNIS wander around a mysterious barren land in the first trailer film for their debut,Teaser,Sophie-Ha,03/15/2024,4,"1,977",ORG,UNIS,"land, trailer, film, debut"
121,"""What will the idols do?"" Legal and ethical concerns raised with the increasing number of AI generated cover songs",News,Sophie-Ha,03/15/2024,14,"6,205",MISC,AI,"idols, concerns, number, songs"
122,Super Junior D&E introduces the tracks to their upcoming 5th mini-album '606' through the tracklist teaser,News,Sophie-Ha,03/15/2024,3,"1,771",ORG,Super Junior D & E,"Super, Junior, D&E, tracks, -, album, ', tracklist, teaser"
123,HYBE's new girl group ILLIT stars in Acne Studios’ global campaign,News,Sofia-Sayson,03/15/2024,17,"5,010","ORG, ORG, ORG, ORG","H, IL, ##IT, Acne Studios","HYBE, girl, group, ILLIT, stars, Acne, Studios, campaign"
124,Cha Eun Woo selected as the new brand model for Sprite,News,Sophie-Ha,03/15/2024,3,"2,346","PER, ORG, MISC","Cha Eun Woo, Sp, ##rite","Cha, Eun, Woo, brand, model, Sprite"
125,Why the Guitar 🎸 has become RIIZE Wonbin’s Representative Emoji,Original Content,Rika-go,03/15/2024,2,"2,434","PER, PER","Wonbin, Emoji","Guitar, RIIZE, Representative"
126,RIIZE's Anton shares his trip to the U.S. during his break,News,Sophie-Ha,03/15/2024,3,"4,012","ORG, PER, LOC","RI, Anton, U. S.","RIIZE, trip, U.S., break"
127,"""2nd gen is the real deal,"" Highlight receives praise for their music program comeback stage",News,Sophie-Ha,03/15/2024,23,"18,834",ORG,Highlight,"gen, deal, praise, music, program, comeback, stage"
128,"The Boyz are ready for the summer in the music video trailer for the title track ""Nectar"" from 'Phantasy Pt. 3 Love Letter'",Teaser,Sophie-Ha,03/15/2024,0,925,"ORG, MISC, MISC","The Boyz, Nectar, Phantasy Pt. 3 Love Letter","Boyz, summer, music, video, trailer, title, track, Phantasy, Pt, ., Love, Letter"
